#,idSekolah,idDetail,nilai,ket
0,20531862,6,5,Akreditasi
1,20531862,7,2013,Tahun Kurikulum
2,20531862,8,21,Jumlah Staff
3,20531862,9,4,Jumlah Guru Bersertifikasi
4,20531862,10,405,Jumlah Lulusan
5,20531862,11,0,Internet
6,20531862,12,600,Luas Sekolah (M2)
7,20531862,13,600,Luas Tanah Terbuka (m2)
8,20531862,14,15,Jumlah Kelas
9,20531862,15,3,Jumlah Kelas terdaoa ac
10,20531862,16,1,Jumlah Perpustakaan
11,20531862,17,2,Jumlah Lab
12,20531862,18,8500000,Uang Gedung
13,20531862,19,120000,Uang Daftar Ulang
14,20531862,20,50000,Uang Spp
15,20531862,21,670000,Uang Seragam
16,20531862,23,-7.2558069,Koordinat x
17,20531862,24,112.7956792,Koordinat y
18,20531862,22,1000,Uang Lain
19,20572027,6,4,Akreditasi
20,20572027,7,2013,Tahun Kurikulum
21,20572027,8,11,Jumlah Staff
22,20572027,9,0,Jumlah Guru Bersertifikasi
23,20572027,10,262,Jumlah Lulusan
24,20572027,11,1,Internet
25,20572027,12,400,Luas Sekolah (M2)
26,20572027,13,100,Luas Tanah Terbuka (m2)
27,20572027,14,11,Jumlah Kelas
28,20572027,15,0,Jumlah Kelas terdaoa ac
29,20572027,16,1,Jumlah Perpustakaan
30,20572027,17,1,Jumlah Lab
31,20572027,18,10900000,Uang Gedung
32,20572027,19,1000000,Uang Daftar Ulang
33,20572027,20,700000,Uang Spp
34,20572027,21,700000,Uang Seragam
35,20572027,23,-7.2433733,Koordinat x
36,20572027,24,112.6217509,Koordinat y
37,20572027,22,1000,Uang Lain
38,20573303,6,5,Akreditasi
39,20573303,7,2013,Tahun Kurikulum
40,20573303,8,22,Jumlah Staff
41,20573303,9,6,Jumlah Guru Bersertifikasi
42,20573303,10,386,Jumlah Lulusan
43,20573303,11,1,Internet
44,20573303,12,950,Luas Sekolah (M2)
45,20573303,13,100,Luas Tanah Terbuka (m2)
46,20573303,14,17,Jumlah Kelas
